Refs,Datasheet,Description,Footprint,Sim.Device,Sim.Pins,Sim.Type,Value,,,,,,,,,,
R2,~,Resistor,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,,,,100k,,,,,,,,,,
R20,~,Resistor,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,,,,390k,,,,,,,,,,
R21,~,Resistor,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,,,,10k,,,,,,,,,,
R22,~,Resistor,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,,,,2.2k,,,,,,,,,,
R23,~,Resistor,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,,,,1Mega,,,,,,,,,,
R24,~,Resistor,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,,,,4.7K,,,,,,,,,,
R3,~,Resistor,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,,,,470k,,,,,,,,,,
R4,~,Resistor,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,,,,15k,,,,,,,,,,
R5,~,Resistor,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,,,,100,,,,,,,,,,
R6,~,Resistor,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,,,,1k,,,,,,,,,,
R7,~,Resistor,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,,,,8.2k,,,,,,,,,,
R8,~,Resistor,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,,,,100k,,,,,,,,,,
R9,~,Resistor,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,,,,470k,,,,,,,,,,
RV1,~,Potentiometer,Potentiometer 2:Potentiometer_Omeg_PC16BU_Vertical_Edit,,,,100k,,,,,,,,,,
RV2,~,Potentiometer,Potentiometer 2:Potentiometer_Omeg_PC16BU_Vertical_Edit,,,,100k,,,,,,,,,,
RV3,~,Potentiometer,Potentiometer 2:Potentiometer_Omeg_PC16BU_Vertical_Edit,,,,100k,,,,,,,,,,
